               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  58,               2.535,              2.0217,               1.607,             0.52029,             0.58242,             0.55772,             0.25628,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.5391,              2.0417,              1.6171,             0.51404,             0.57299,             0.55581,             0.25722,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.5183,              2.0383,              1.6281,             0.52689,             0.56392,             0.55131,             0.24413,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.5473,               1.978,              1.5893,             0.56042,             0.60695,              0.5887,             0.26832,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.5357,              1.9658,              1.5742,             0.53358,             0.61767,             0.57325,             0.24591,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.5251,              2.0202,              1.6241,             0.50972,             0.56249,             0.52835,             0.23369,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.5187,              1.9261,              1.5358,             0.56093,             0.59057,             0.57982,             0.27105,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.4824,              1.9187,              1.5697,             0.56849,             0.60193,             0.58661,             0.25633,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.5533,              1.9425,              1.5639,             0.52611,             0.61075,             0.56307,             0.23955,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.4202,              1.9029,              1.5971,             0.56407,             0.61542,             0.59657,             0.26882,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.5101,              1.9469,               1.568,             0.57013,             0.61546,             0.60356,             0.28054,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.5091,               1.901,              1.5734,             0.57681,             0.62394,             0.60525,             0.28656,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,               2.512,              1.9154,              1.5457,             0.52232,              0.6057,             0.56039,             0.21915,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.4729,              1.9271,               1.572,             0.54677,             0.59112,             0.57188,             0.26895,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              2.5378,              1.9341,              1.5651,             0.54388,              0.5914,             0.57235,             0.26034,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,               2.465,              1.8877,              1.5583,              0.5717,             0.59803,             0.58914,             0.28043,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              2.4804,              1.9111,              1.5896,             0.55327,             0.62008,             0.58488,             0.26675,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              2.4221,              1.8716,              1.5688,             0.57268,              0.6274,              0.6118,             0.29415,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              2.4274,              1.8694,              1.5645,             0.55271,             0.63609,              0.5933,             0.27204,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              2.4802,              1.8958,              1.5983,             0.38459,             0.53116,             0.40619,             0.12586,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,               2.458,              1.9234,               1.562,             0.57883,             0.64275,             0.62431,             0.29513,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              2.4389,              1.8551,               1.574,             0.60944,             0.64427,             0.65956,             0.32259,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              2.4644,              1.8535,              1.5318,              0.5858,             0.63184,              0.6246,             0.29957,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,               2.382,              1.8403,              1.5648,             0.57531,             0.67374,             0.64198,             0.31424,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              2.4583,              1.8211,               1.551,             0.58964,             0.65916,             0.63739,             0.29821,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              2.4234,              1.8333,              1.5771,             0.61366,             0.64287,               0.652,              0.3211,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              2.4285,              1.8597,               1.527,             0.61356,             0.66695,             0.66052,             0.32312,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              2.4075,              1.8177,              1.5547,             0.59557,             0.64685,             0.64336,             0.30559,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              2.4715,              1.8344,              1.5504,             0.58983,             0.65905,             0.64188,             0.30887,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              2.3765,               1.816,              1.5375,             0.60907,              0.6457,             0.64598,             0.31826,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              2.4103,              1.8135,              1.5611,             0.61294,              0.6536,             0.65087,             0.32812,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              2.4032,              1.8796,              1.5799,             0.60624,             0.65174,              0.6501,               0.317,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              2.3669,              1.8008,              1.5617,             0.55344,             0.64638,             0.60177,             0.27604,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              2.3756,              1.7959,              1.4972,             0.55553,             0.65907,             0.59293,             0.27117,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              2.3865,              1.7973,              1.5203,             0.58047,             0.65835,              0.6326,               0.298,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              2.4214,              1.8022,              1.5292,             0.60671,             0.65705,             0.65146,             0.31936,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              2.3654,              1.7976,               1.562,             0.59913,             0.64697,             0.63312,             0.28858,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              2.4213,              1.8018,              1.5159,             0.61376,             0.66744,             0.66034,             0.32623,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              2.3992,              1.7903,              1.5479,             0.60282,             0.67126,             0.65032,             0.31889,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              2.3919,              1.7831,               1.531,             0.59313,             0.67016,             0.64275,             0.31067,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              2.3459,              1.7553,              1.5106,             0.60371,              0.6771,             0.65702,              0.3239,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              2.3358,              1.7661,              1.5053,             0.61611,               0.668,             0.66004,             0.32556,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
