               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  59,              1.8959,              2.3631,              1.6837,             0.53184,             0.49914,             0.47958,             0.33352,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.8495,              2.3398,              1.7054,             0.46633,             0.53943,             0.46858,             0.33045,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.8725,              2.3086,              1.6519,             0.47673,             0.54545,             0.49064,             0.34576,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.8315,              2.2637,              1.6623,             0.42875,             0.53151,             0.46863,             0.33605,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.8759,              2.3079,              1.6933,             0.44006,             0.55072,             0.48838,             0.34434,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.8168,              2.2937,              1.6609,             0.51095,              0.5283,             0.49846,             0.34821,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.8352,              2.2373,              1.6756,             0.46381,             0.55441,             0.49802,             0.35119,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.8609,              2.3081,              1.6736,             0.48619,             0.55938,              0.5077,             0.35565,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.8632,              2.2639,              1.6573,              0.4713,             0.57451,             0.50327,             0.35107,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.7841,              2.1819,              1.6179,             0.46573,             0.56586,             0.49892,             0.34771,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.8427,               2.249,              1.6385,              0.4844,             0.55528,              0.5157,             0.35879,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.7904,              2.2518,               1.662,             0.50258,             0.54603,             0.50262,              0.3518,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.8156,              2.2315,              1.6487,             0.49014,             0.54711,             0.51812,             0.36626,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.7814,              2.2039,              1.6327,             0.49569,             0.56435,             0.51394,              0.3619,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.7952,              2.1731,              1.6475,             0.49229,             0.58838,             0.52175,             0.36783,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.8089,              2.2199,              1.6385,             0.49041,             0.54428,             0.50779,             0.35665,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.7579,              2.1278,              1.6154,             0.52208,             0.53216,             0.51001,             0.36114,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.7679,              2.1647,              1.6241,             0.51283,             0.57324,             0.53118,             0.37093,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,               1.768,              2.2112,              1.6491,             0.49653,             0.56291,             0.51709,             0.36453,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.7636,              2.1575,              1.6174,             0.47145,             0.60329,             0.54308,              0.3776,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.7277,              2.1287,              1.6093,             0.49788,             0.55091,             0.51398,             0.35849,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
